NAME:,walking_dor2,,
0.695,-2.47,2.55,5.96
0.696,-2.24,2.59,3.92
0.697,-1.65,2.47,3.77
0.698,-1.65,2.55,4.28
0.699,-1.49,2.43,4.43
0.7,-1.14,2.94,4.67
0.701,-1.18,2.98,5.53
0.702,-1.88,3.26,7.92
0.703,-1.96,4.35,8.59
0.704,-1.96,5.92,11.22
0.705,-4.63,2.75,17.53
0.706,-3.53,4.82,11.18
0.707,-2.55,5.02,7.14
0.708,-2.51,4.2,8.08
0.709,-2.51,3.96,5.14
0.71,-2.82,3.53,4.2
0.711,-2.79,4.04,4.63
0.712,-2.94,4.51,5.69
0.713,-3.33,4.86,5.49
0.714,-4.24,5.06,6.94
0.715,-5.33,5.22,8.43
0.716,-5.02,5.84,10.04
0.717,-6.28,6.51,12.83
0.718,-6.32,4.43,15.49
0.719,-4.31,4.51,11.06
0.72,-3.61,4.2,7.77
0.721,-3.41,3.57,7.92
0.722,-2.82,2.82,7.77
0.723,-2.16,2.24,5.41
0.724,-1.84,2,3.84
0.725,-1.26,2,3.02
0.726,-1.1,2.16,2.82
0.727,-1.06,2.71,3.61
0.728,-2.82,5.14,7.06
0.729,-2.08,6.28,9.02
0.73,-3.18,6.32,16.04
0.731,-4.16,3.06,15.06
0.732,-1.26,5.84,6.04
0.733,-1.45,4.55,6.2
0.734,-1.8,4.16,4.63
0.735,-2.16,4.47,3.06
0.736,-3.1,4.24,2.98
0.737,-3.77,4.67,4.79
0.738,-4.35,5.26,5.57
0.739,-4.71,5.61,6.08
0.74,-5.84,6.12,9.1
0.741,-6.08,6.75,12.36
0.742,-6.2,7.22,13.18
0.743,-5.53,6.59,13.73
0.744,-5.26,4.31,12.47
0.745,-4.16,3.69,7.96
0.746,-3.73,3.53,7.22
0.747,-2.98,2.55,7.49
0.748,-2.39,2.12,5.88
0.749,-1.88,2.2,3.8
0.75,-1.57,2.12,3.26
0.751,-1.26,2.59,3.41
0.752,-1.49,2.71,4.39
0.753,-1.8,3.3,4.67
0.754,-2.08,4,6.32
0.755,-2.43,4.43,7.53
0.756,-2.24,5.69,7.45
0.757,-2.55,6.47,12.28
0.758,-4.79,3.26,16.55
0.759,-2.82,4.59,9.41
0.76,-1.8,5.61,6.94
0.761,-2.12,4.59,6.51
0.762,-2.47,4.39,4.86
0.763,-3.1,3.96,4.51
0.764,-2.98,4.51,5.1
0.765,-3.18,4.9,5.96
0.766,-3.33,5.33,6.47
0.767,-4.2,6,7.73
0.768,-3.92,6.39,10.2
0.769,-4.28,7.26,12.36
0.77,-5.37,6.67,12.24
0.771,-4.9,5.45,12.71
0.772,-4.47,4.04,9.77
0.773,-4.12,3.8,7.92
0.774,-2.82,2.71,7.65
0.775,-2.51,2,8.55
0.776,-1.57,1.77,5.26
0.777,-0.82,2.63,1.65
0.778,-1.26,2.55,3.77
0.779,-1.26,2.86,4.08
0.78,-1.37,3.84,4.75
0.781,-2.47,4.12,6.43
0.782,-1.8,3.69,7.37
0.783,-1.84,5.02,7.26
0.784,-0.04,6.43,7.14
0.785,-0.9,7.06,10.71
0.786,-5.33,2.67,16.48
0.787,-3.41,7.37,7.14
0.788,-3.45,6.24,8.98
0.789,-4.31,4.2,8.51
0.79,-3.41,4.79,3.3
0.791,-3.88,4.47,4.28
0.792,-3.8,4.67,4.94
0.793,-4.04,4.82,5.96
0.794,-3.96,5.3,7.61
0.795,-3.73,5.41,8.2
0.796,-3.73,6.16,9.57
0.797,-4.16,6.43,12.08
0.798,-4.67,6.79,12.32
0.799,-4.47,5.02,14.16
0.8,-4,3.49,8.75
0.801,-3.33,4.86,6.71
0.802,-2.39,3.57,7.81
0.803,-2.2,2.82,6.59
0.804,-1.26,2.43,3.45
0.805,-0.94,2.67,1.73
0.806,-1.02,2.39,2.59
0.807,-0.75,3.14,3.1
0.808,-1.77,3.14,4.31
0.809,-1.84,3.45,4.63
0.81,-2.28,4.55,6.86
0.811,-2.39,5.1,7.96
0.812,-1.57,6.86,8.75
0.813,-4.04,4.47,16.79
0.814,-4.16,3.41,11.77
0.815,-2.63,6.59,5.37
0.816,-3.26,4.67,10.98
0.817,-3.18,4.35,6.59
0.818,-3.84,4.98,4.08
0.819,-4.43,3.96,5.88
0.82,-4,4.75,5.84
0.821,-3.8,4.98,7.81
0.822,-3.77,4.75,8.94
0.823,-3.49,5.02,9.38
0.824,-2.71,5.57,11.3
0.825,-2.94,5.22,10.51
0.826,-3.53,5.88,11.41
0.827,-4.55,2.82,12.43
0.828,-3.92,5.37,8
0.829,-3.53,4.39,10.59
0.83,-2.35,3.41,9.85
0.831,-0.94,3.45,5.37
0.832,-0.71,2.82,2.94
0.833,-0.67,2.67,2.47
0.834,-0.94,2.28,3.14
0.835,-0.67,2.59,1.96
0.836,-0.98,3.57,2.39
0.837,-1.53,3.61,4.9
0.838,-1.69,4.43,6.98
0.839,-1.45,5.92,5.81
0.84,-1.65,7.77,12.4
0.841,-4.39,2.16,19.89
0.842,-2.59,6.12,8.28
0.843,-1.84,5.84,6.47
0.844,-2.12,4.79,8.94
0.845,-2.9,4.79,5.26
0.846,-3.84,4.75,4.39
0.847,-4.67,5.26,4.35
0.848,-5.33,5.14,5.61
0.849,-5.26,5.61,6.39
0.85,-5.26,6.2,7.37
0.851,-4.82,6.39,10.47
0.852,-3.33,7.69,12.98
0.853,-3.96,7.02,13.42
0.854,-3.88,4.67,15.3
0.855,-2.79,4.43,9.96
0.856,-2.08,4.43,7.77
0.857,-2.04,3.77,9.61
0.858,-1.61,2.31,6.9
0.859,-0.82,2.08,2.82
0.86,-0.9,2.28,1.96
0.861,-0.67,2.47,2.08
0.862,-1.14,2.75,3.22
0.863,-0.86,3.3,4.67
0.864,-0.31,3.88,5.1
0.865,-1.96,3.84,7.53
0.866,-1.45,5.18,6.32
0.867,-0.2,6.16,7.14
0.868,-3.77,3.02,17.73
0.869,-1.33,5.1,9.45
0.87,-1.65,6.71,10.71
0.871,-2.67,4.86,9.18
0.872,-2.71,5.92,3.61
0.873,-3.8,5.06,4.39
0.874,-3.84,5.53,4.59
0.875,-3.22,5.81,4.75
0.876,-4.04,5.3,6.08
0.877,-4.75,5.22,6.75
0.878,-3.84,5.92,8.32
0.879,-4.39,7.22,10.83
0.88,-6.32,6.67,13.1
0.881,-4.9,6.04,15.69
0.882,-5.1,4.55,11.06
0.883,-3.88,5.1,8.39
0.884,-3.3,3.33,10.67
0.885,-1.77,2.79,6.79
0.886,-0.94,2.51,2.67
0.887,-1.14,2.67,2.47
0.888,-0.71,2.35,2.35
0.889,-0.67,2.9,2.12
0.89,-1.14,2.79,2.9
0.891,-1.65,3.53,3.84
0.892,-2.79,4.67,5.53
0.893,-3.22,5.1,6.83
0.894,-3.1,7.18,10.28
0.895,-4.98,3.65,15.38
0.896,-2.82,7.34,7.92
0.897,-2.94,6.67,7.06
0.898,-3.02,4.47,8.2
0.899,-3.84,5.26,5.53
0.9,-3.8,4.67,4.04
0.901,-4.12,5.69,4.12
0.902,-5.1,5.49,4.9
0.903,-5.26,5.92,6
0.904,-5.33,6.75,6.39
0.905,-6.16,6.67,8.9
0.906,-6.51,6.98,11.3
0.907,-6.35,7.22,13.18
0.908,-5.1,4.9,14.63
0.909,-4.08,3.18,9.41
0.91,-4.39,3.61,5.65
0.911,-3.8,3.84,6.83
0.912,-2.86,2.79,7.85
0.913,-2.12,2.59,5.26
0.914,-2.35,3.45,4.39
0.915,-2.35,2.08,4.75
0.916,-2,3.26,4
0.917,-2.43,3.02,4.04
0.918,-2.47,3.92,4.98
0.919,-1.92,4.47,6.86
0.92,-2.35,4.12,7.45
0.921,-1.33,6,8.47
0.922,-5.14,2.71,15.3
0.923,-4.86,2,11.77
0.924,-2,7.1,4.86
0.925,-2.35,5.06,10.08
0.926,-2.9,4.08,8.36
0.927,-2.55,4.94,4.59
0.928,-2.79,4.16,5.1
0.929,-2.94,5.02,5.65
0.93,-3.8,4.82,6.71
0.931,-4.39,5.33,7.3
0.932,-5.3,5.37,8.59
0.933,-5.22,5.45,9.61
0.934,-4.86,7.18,12.12
0.935,-5.69,5.02,16.16
0.936,-3.61,4.2,11.18
0.937,-2.51,4.31,6.98
0.938,-2.82,3.77,7.1
0.939,-2.51,2.9,7.37
0.94,-2.04,2.67,5.37
0.941,-1.92,2.79,4.16
0.942,-1.73,2.59,4.04
0.943,-1.49,2.9,3.65
0.944,-1.61,3.22,4.79
0.945,-1.8,3.33,5.81
0.946,-1.33,3.45,6
0.947,-2.59,3.61,7.65
0.948,-1.53,5.02,7.73
0.949,-3.33,6.47,13.93
0.95,-3.96,2.51,16.2
0.951,-2.16,6.79,7.06
0.952,-2.59,5.14,8.75
0.953,-2.86,4.51,8
0.954,-2.51,4.9,4.2
0.955,-2.82,4.63,4
0.956,-3.02,4.79,4.82
0.957,-3.57,5.02,5.92
0.958,-4.16,5.49,7.26
0.959,-4.55,5.61,8.24
0.96,-4.16,6.59,9.22
0.961,-4.2,7.53,11.85
0.962,-5.06,6.39,13.81
0.963,-4.55,4.24,13.06
0.964,-3.53,5.06,6.28
0.965,-3.37,5.02,7.26
0.966,-2.98,3.77,8.28
0.967,-2.24,3.3,5.3
0.968,-1.65,2.82,3.26
0.969,-1.37,2.67,2.94
0.97,-1.29,2.31,2.75
0.971,-0.51,2.94,2.79
0.972,-0.75,2.67,4.59
0.973,-0.67,2.82,5.1
0.974,-1.49,3.02,6.63
0.975,-0.94,5.57,9.38
0.976,-1.8,5.02,14.16
0.977,-4.59,2.79,18.63
0.978,-3.02,4.94,10.67
0.979,-1.88,5.41,7.96
0.98,-2.12,4.79,7.61
0.981,-2.24,3.96,5.02
0.982,-2.35,4.47,4.35
0.983,-2.79,4.08,5.73
0.984,-2.75,4.79,5.33
0.985,-3.37,5.06,6.79
0.986,-3.92,5.33,8.83
0.987,-4.39,5.33,11.06
0.988,-4.55,5.88,12.79
0.989,-4.35,6.39,15.42
0.99,-3.49,4.71,18.01
0.991,-2.59,3.14,12.98
0.992,-1.41,2.82,7.26
0.993,-0.71,2.55,6.9
0.994,-1.06,1.8,5.33
0.995,-1.33,2.51,4.24
0.996,-1.88,1.92,4.51
0.997,-1.57,1.84,3.53
0.998,-1.02,2.28,3.65
0.999,-1.65,2.16,4
1,-1.57,2.35,4.59
1.001,-0.9,2.75,6.24
1.002,-1.22,2.2,7.02
1.003,0.47,4.2,7.61
1.004,-1.06,4.55,14.47
1.005,-3.88,1.69,14.51
1.006,-2,5.57,9.81
1.007,-1.77,4.75,10.4
1.008,-2.59,4.43,8
1.009,-3.22,4.04,5.84
1.01,-3.1,4.31,4.9
1.011,-3.45,4.31,5.84
1.012,-3.45,4.98,6.28
1.013,-3.61,5.06,7.53
1.014,-3.88,5.33,9.14
1.015,-3.73,5.45,10.67
1.016,-3.41,6.08,12.94
1.017,-4.39,5.88,13.65
1.018,-3.57,4.71,15.65
1.019,-2.63,3.41,13.34
1.02,-2.59,2.98,8.83
1.021,-2,3.14,8.55
1.022,-1.1,2.51,7.85
1.023,-0.63,2.04,4.98
1.024,-0.51,2.16,3.14
1.025,-0.27,2.16,2.43
1.026,-0.63,1.8,3.26
1.027,-0.55,1.84,3.1
1.028,-1.1,2.67,4.2
1.029,-1.77,2.43,6.94
1.03,-1.53,3.96,6.94
1.031,-0.12,4.51,5.73
1.032,-0.16,5.65,11.1
1.033,-2.86,3.37,17.53
1.034,-1.41,5.18,11.45
1.035,-1.37,5.73,10.2
1.036,-1.53,4.82,9.53
1.037,-2.55,3.53,6.59
1.038,-2.86,3.06,4.82
1.039,-3.33,3.02,4.75
1.04,-4.31,3.3,5.06
1.041,-4.71,4.28,5.45
1.042,-4.47,5.49,8.51
1.043,-4.86,6.08,11.73
1.044,-5.69,6.04,14.71
1.045,-4.71,6.55,14.55
1.046,-3.77,6.08,17.26
1.047,-2.63,3.33,12.67
1.048,-1.92,3.41,6.35
1.049,-2.35,3.18,7.73
1.05,-1.92,2.55,8.43
1.051,-1.41,2.43,6.12
1.052,-1.14,2,4.82
1.053,-0.94,1.84,4
1.054,-0.86,1.73,3.14
1.055,-0.35,2.16,2.9
1.056,-0.78,2.2,4.43
1.057,-0.08,2.94,5.26
1.058,-0.71,3.33,5.96
1.059,0.82,5.02,6.35
1.06,-2.43,6.47,13.49
1.061,-3.06,3.96,16.87
1.062,-2.51,5.77,9.41
1.063,-2,5.33,9.1
1.064,-1.88,5.06,8.28
1.065,-2.47,4.71,4.43
1.066,-2.98,4.9,4.12
1.067,-3.06,5.45,4.71
1.068,-3.06,5.81,5.26
1.069,-3.8,6.24,5.88
1.07,-4.51,5.84,8.75
1.071,-4.86,6.24,10.94
1.072,-4.59,6.28,13.26
1.073,-3.96,6.9,12.55
1.074,-3.57,4.98,14.24
1.075,-3.1,4.16,10.2
1.076,-3.18,3.96,7.73
1.077,-2.47,3.37,8.08
1.078,-2.28,2.63,7.18
1.079,-1.8,2.24,5.45
1.08,-1.22,2.51,3.96
1.081,-0.98,1.96,4
1.082,-0.51,2.31,2.82
1.083,-1.14,2.59,4.86
1.084,-1.02,2.94,6.75
1.085,-1.37,3.53,7.49
1.086,-0.98,4.51,6.35
1.087,-0.71,5.14,10.04
1.088,-3.57,4.55,14.51
1.089,-3.14,2.79,11.22
1.09,-2.2,5.65,7.49
1.091,-2.55,4.43,9.65
1.092,-2.47,4.86,6.71
1.093,-2.35,4.98,4.47
1.094,-2.55,5.06,5.69
1.095,-2.43,5.22,5.65
1.096,-3.37,5.02,5.84
1.097,-4.31,4.98,7.02
1.098,-5.26,4.94,7.96
1.099,-4.9,6,10.9
1.1,-5.53,6.04,14.24
1.101,-4.43,5.69,16.4
1.102,-3.92,4.51,15.77
1.103,-2.75,4.39,9.81
1.104,-2.98,4.35,8.08
1.105,-2.2,3.41,8.9
1.106,-1.45,2.59,6.2
1.107,-1.06,2.12,3.77
1.108,-1.06,1.88,3.45
1.109,-1.02,1.77,3.45
1.11,-0.86,2,2.75
1.111,-0.9,2.43,3.14
1.112,-1.18,2.51,3.88
1.113,-1.61,3.1,5.69
1.114,0.08,5.02,5.96
1.115,-1.1,6.08,11.81
1.116,-3.69,2.47,18.55
1.117,-2.24,6.75,8.39
1.118,-2.63,5.33,6.98
1.119,-2.59,5.02,8.12
1.12,-3.02,5.22,6.12
1.121,-3.06,5.22,5.02
1.122,-3.61,5.22,5.81
1.123,-3.65,5.41,6.35
1.124,-3.69,5.45,7.37
1.125,-4.59,4.82,8.36
1.126,-4.31,5.37,10.75
1.127,-4.2,5.45,14.71
1.128,-4.39,5.33,13.77
1.129,-3.49,5.22,14.98
1.13,-2.71,3.06,11.22
1.131,-2.67,4.31,6.94
1.132,-2.51,3.49,10.12
1.133,-2.28,2.08,9.34
1.134,-1.14,1.84,5.26
1.135,-0.78,2.12,3.26
1.136,-1.06,1.73,3.14
1.137,-0.86,1.88,2.98
1.138,-0.78,2.16,3.57
1.139,-0.63,2.39,3.73
1.14,-0.63,2.51,5.53
1.141,-1.69,2.43,7.73
1.142,-0.27,4.71,7.85
1.143,-2.71,5.37,14.75
1.144,-4.12,2.86,16.75
1.145,-1.69,6.2,7.61
1.146,-1.69,5.14,8.87
1.147,-2.16,5.02,7.26
1.148,-1.73,5.02,4.67
1.149,-1.88,5.02,4.35
1.15,-2.9,4.63,4.94
1.151,-3.45,4.82,6.35
1.152,-4.24,4.82,7.81
1.153,-4.82,4.79,9.81
1.154,-4.55,5.41,12.87
1.155,-4.43,5.18,14.83
1.156,-3.65,6.24,13.61
1.157,-3.22,4.12,14.47
1.158,-2.08,3.61,7.41
1.159,-2.63,3.77,6.59
1.16,-2.94,3.02,9.53
1.161,-1.84,2.51,6.24
1.162,-1.37,2.24,4.08
1.163,-1.02,2.2,3.3
1.164,-1.18,1.96,3.41
1.165,-0.9,2.31,3.18
1.166,-0.75,2.67,4.31
1.167,-0.67,2.75,6.2
1.168,-0.24,3.41,5.81
1.169,-0.9,3.61,6.75
1.17,0.47,5.84,8.79
1.171,-3.41,4.82,16.44
1.172,-4.51,2.71,12.87
1.173,-3.06,5.88,7.77
1.174,-2.79,4.82,9.49
1.175,-2.47,4.94,5.84
1.176,-2.51,4.75,4
1.177,-2.75,4.67,5.49
1.178,-2.9,4.94,5.77
1.179,-3.22,4.82,7.34
1.18,-3.73,4.79,9.22
1.181,-3.57,5.02,10.51
1.182,-2.67,5.96,12.91
1.183,-3.26,5.77,15.26
1.184,-2.63,5.18,15.93
1.185,-2,2.75,9.73
1.186,-1.96,3.73,5.77
1.187,-2.94,2.75,8.79
1.188,-2.43,1.88,8.12
1.189,-1.45,2,5.1
1.19,-1.45,1.84,3.88
1.191,-1.06,1.49,3.18
1.192,-0.82,1.69,2.86
1.193,-0.63,2,2.71
1.194,-0.47,2.51,3.37
1.195,-0.12,3.26,5.41
1.196,-0.94,2.98,9.26
1.197,0.75,5.92,9.73
1.198,-1.02,5.84,16.2
1.199,-3.1,2.31,17.93
1.2,-1.22,5.37,7.65
1.201,-1.69,4.35,9.1
1.202,-1.49,4.55,7.45
1.203,-2.04,4.79,4.63
1.204,-3.06,4.28,5.3
1.205,-2.9,4.86,5.45
1.206,-3.61,4.86,6.79
1.207,-3.96,5.02,8.36
1.208,-4.16,5.3,8.98
1.209,-3.92,5.33,11.45
1.21,-3.73,6.08,11.61
1.211,-4,6.63,14.63
1.212,-3.8,4.08,17.34
1.213,-2.39,3.06,9.49
1.214,-3.26,3.57,7.02
1.215,-3.14,2.59,9.18
1.216,-1.41,2.43,6.51
1.217,-1.18,1.8,3.8
1.218,-0.86,1.84,2.51
1.219,-1.18,1.69,2.94
1.22,-0.35,1.88,2.67
1.221,-0.47,2.35,3.84
1.222,-0.43,2.43,4.04
1.223,-0.31,3.57,6.16
1.224,-0.82,3.88,8.67
1.225,-0.2,5.3,9.57
1.226,-3.65,3.18,18.12
1.227,-3.61,3.3,11.92
1.228,-1.96,5.88,7.69
1.229,-1.73,5.57,10.87
1.23,-2.67,4.82,7.81
1.231,-2.51,4.98,4.82
1.232,-2.71,4.71,4.71
1.233,-3.45,4.75,5.84
1.234,-4.04,4.9,6.86
1.235,-4.28,5.06,8.51
1.236,-4.47,4.9,9.14
1.237,-3.33,6.12,12.12
1.238,-3.73,5.37,14.32
1.239,-3.22,6.55,13.14
1.24,-2.86,4.47,14.67
1.241,-2.28,4.24,7.73
1.242,-2.47,4.28,8.79
1.243,-2.24,3.06,9.96
1.244,-0.75,2.39,5.1
1.245,-0.78,1.96,2.55
1.246,-1.02,1.65,2.63
1.247,-0.82,1.69,2.28
1.248,-0.9,2.16,2.59
1.249,-0.98,2.31,3.65
1.25,-1.18,2.98,5.26
1.251,-2.08,3.61,7.69
1.252,-1.53,4.59,5.92
1.253,-1.53,6.51,10.12
1.254,-4.67,3.41,19.85
1.255,-2.39,6.9,9.85
1.256,-2.39,6.39,7.45
1.257,-2.24,4.98,8.24
1.258,-2.08,4.79,4.82
1.259,-2.2,4.47,4.47
1.26,-2.43,4.08,4.47
1.261,-2.43,4.47,4.86
1.262,-2.94,4.79,5.65
1.263,-3.69,5.14,8.2
1.264,-3.84,5.77,11.34
1.265,-4.43,5.84,15.02
1.266,-4.35,5.69,14.36
1.267,-3.18,5.81,16.91
1.268,-2.82,3.53,12.2
1.269,-2.55,3.49,7.65
1.27,-2.35,2.86,7.3
1.271,-1.53,1.49,4.86
1.272,-1.57,1.92,5.22
1.273,-2.2,0.82,6.24
1.274,-0.94,1.45,2.98
1.275,-0.78,1.65,3.53
1.276,-0.67,1.57,4.59
1.277,-0.24,2.55,4.86
1.278,-0.75,3.26,8.08
1.279,-1.1,3.33,9.1
1.28,0.16,5.22,7.14
1.281,-1.33,6.24,12.04
1.282,-3.1,2.59,17.1
1.283,-3.41,5.14,9.41
1.284,-2.59,4.35,10.83
1.285,-1.69,4.86,7.77
1.286,-1.77,4.82,5.02
1.287,-2.51,4.43,4.9
1.288,-2.79,4.75,6.51
1.289,-3.02,4.82,7.18
1.29,-4.08,4.47,7.85
1.291,-4.04,4.94,8.28
1.292,-4,5.1,10.2
1.293,-3.26,5.49,12.43
1.294,-3.73,5.69,16.91
1.295,-2.75,2.55,15.49
1.296,-1.8,2.98,7.73
1.297,-2.75,3.41,6.67
1.298,-2.63,2.43,9.61
1.299,-2.16,2.43,6.9
1.3,-1.49,2.28,4.59
1.301,-1.45,1.88,3.49
1.302,-0.94,2,3.1
1.303,-0.78,1.77,3.1
1.304,-0.67,2,4.28
1.305,-0.31,2.67,5.88
1.306,-0.78,2.28,8.16
1.307,-1.06,3.57,6.47
1.308,-0.67,5.65,11.69
1.309,-3.14,3.69,18.51
1.31,-2.63,3.65,12.12
1.311,-2.12,5.49,7.41
1.312,-1.45,4.59,7.88
1.313,-1.69,4.75,4.9
1.314,-2.63,4.31,4.59
1.315,-2.82,4.47,5.49
1.316,-3.3,4.55,6.39
1.317,-3.57,4.67,7.1
1.318,-4.2,4.98,8.83
1.319,-3.96,5.53,10.75
1.32,-3.22,6.28,13.77
1.321,-3.45,5.81,14.75
1.322,-2.55,4.2,15.26
51.99641,-2.55,2.9,10.59
1.325,-2.24,3.65,6.63
1.326,-2.28,2.71,9.06
1.327,-2.04,1.88,6.67
1.328,-1.88,1.69,4.55
1.329,-1.37,2.08,3.1
1.33,-1.61,1.8,4.04
1.331,-1.02,2.12,3.57
1.332,-0.59,2.43,4.75
1.333,-0.59,2.63,6.35
1.334,-0.43,2.86,7.96
1.335,-0.98,2.9,7.1
1.336,0.67,5.61,10.43
1.337,-3.65,3.77,18.01
1.338,-2.71,3.88,12.24
1.339,-1.26,5.77,5.3
1.34,-1.41,5.41,8.47
1.341,-2.51,5.02,5.84
1.342,-3.37,4.67,4.9
1.343,-3.49,4.75,5.33
1.344,-3.33,5.22,5.49
1.345,-3.69,5.49,6.47
1.346,-4.24,5.69,8.28
1.347,-4.59,5.73,10.24
1.348,-4.43,6.24,12.67
1.349,-4.55,6.04,14.16
1.35,-4.08,4.51,17.1
1.351,-3.18,3.02,13.22
1.352,-2.55,3.37,7.61
1.353,-2.63,2.98,9.26
1.354,-1.92,2.43,6.86
1.355,-1.37,2.16,4.04
1.356,-1.02,2.28,2.86
1.357,-1.45,1.92,3.61
1.358,-0.78,2.24,3.22
1.359,-1.33,1.92,3.77
1.36,-0.86,2.47,3.92
1.361,-1.06,2.9,5.84
1.362,-1.57,3.22,7.18
1.363,-0.71,5.69,7.1
1.364,-2.47,6.04,12.75
1.365,-4.98,2.39,16.55
1.366,-2.75,6.24,9.1
1.367,-2.31,5.41,10.47
1.368,-1.65,5.14,7.41
1.369,-2.47,4.67,4.82
1.37,-2.47,4.35,5.26
1.371,-2.04,5.02,4.94
1.372,-2.94,4.98,5.18
1.373,-3.3,4.94,6.86
1.374,-3.73,5.22,8.59
1.375,-3.84,5.81,10.32
1.376,-3.14,6.32,14.12
1.377,-3.45,6.63,13.57
1.378,-3.22,5.84,15.18
1.379,-2.82,3.69,11.22
1.38,-2.35,4.51,7.81
1.381,-2.55,3.41,10.36
1.382,-2.24,2.39,7.65
1.383,-1.33,2,5.45
1.384,-0.9,1.77,3.14
1.385,-0.59,1.53,2.51
1.386,-0.24,1.73,2.12
1.387,-0.67,2,2.04
1.388,-1.1,2.24,3.26
1.389,-0.9,2.55,6.16
1.39,-1.22,3.02,8.2
1.391,0.59,5.33,9.45
1.392,-1.53,5.69,15.22
1.393,-3.96,2.55,16.36
1.394,-2.08,5.37,8.04
1.395,-1.49,5.45,8.59
1.396,-1.77,4.98,8.2
1.397,-2.16,4.71,5.18
1.398,-2.63,4.47,4.82
1.399,-2.98,4.59,5.84
1.4,-3.3,4.98,5.81
1.401,-3.3,5.37,7.41
1.402,-3.73,5.49,8.9
1.403,-3.92,5.57,10.79
1.404,-3.92,6.16,13.02
1.405,-4.31,6.47,13.65
1.406,-3.84,5.92,16.51
1.407,-2.9,3.8,13.45
1.408,-2,3.8,7.96
1.409,-2.08,3.02,8.16
1.41,-1.33,2.39,6.28
1.411,-1.22,1.96,3.92
1.412,-1.26,2.08,3.33
1.413,-1.33,1.69,4.28
1.414,-0.75,1.73,2.98
1.415,-0.27,2.08,2.86
1.416,-0.67,2.12,3.69
1.417,-0.39,2.94,4.9
1.418,-1.22,3.49,7.06
1.419,-0.24,4.98,6.59
1.42,-1.96,6.24,15.02
1.421,-5.3,2.98,17.73
1.422,-3.18,6.94,8.75
1.423,-3.3,5.77,9.57
1.424,-2.08,6.16,8.2
1.425,-2.47,5.49,4.24
1.426,-2.98,5.1,3.84
1.427,-3.22,5.22,4.47
1.428,-3.14,5.61,5.45
1.429,-3.37,5.81,6.79
1.43,-3.84,6,9.22
1.431,-3.37,6.47,11.57
1.432,-3.84,6.32,12.94
1.433,-4.16,6.28,11.69
1.434,-4.04,5.18,13.1
1.435,-3.53,4.47,8.79
1.436,-3.06,4.94,7.92
1.437,-2.63,3.8,9.73
1.438,-1.73,2.59,6.04
1.439,-1.14,2.47,3.14
1.44,-1.37,2.35,2.55
1.441,-1.37,2.04,2.55
1.442,-1.14,2.51,2.94
1.443,-1.41,2.63,3.53
1.444,-0.78,3.1,4.16
1.445,-0.55,3.69,5.73
1.446,-0.78,4.16,8.63
1.447,-0.2,5.1,12.08
1.448,-3.06,3.8,17.1
1.449,-3.3,3.8,12.16
1.45,-1.65,5.18,7.26
1.451,-1.41,5.3,9.41
1.452,-2.04,4.55,5.69
1.453,-2.39,4.67,4.51
1.454,-2.86,4.82,5.92
1.455,-2.9,5.06,6.08
1.456,-3.41,5.02,7.14
1.457,-4.04,5.14,9.06
1.458,-4.51,5.33,11.22
1.459,-3.65,5.73,12.75
1.46,-3.26,6.43,14.79
1.461,-3.1,4.98,17.5
1.462,-2.08,3.02,10.67
1.463,-1.77,3.73,6.39
1.464,-2.59,2.94,9.41
1.465,-2.55,1.8,7.61
1.466,-1.49,1.8,4.51
1.467,-1.45,1.69,3.84
1.468,-0.9,1.69,3.45
1.469,-0.47,2,2.75
1.47,-0.75,2.31,3.37
1.471,-0.31,2.55,3.69
1.472,-1.29,3.06,6.47
1.473,-1.53,2.75,6.75
1.474,-0.51,5.26,8.98
1.475,-3.18,4,18.55
1.476,-2.24,5.92,15.26
1.477,-1.37,6.86,9.22
1.478,-0.94,6.16,8.59
1.479,-2.59,4.67,5.14
1.48,-3.37,4.04,3.77
1.481,-3.49,4.04,3.8
1.482,-3.84,4.67,3.77
1.483,-4,5.02,5.77
1.484,-3.61,5.41,7.77
1.485,-3.65,6.2,9.89
1.486,-3.41,6.47,12.63
1.487,-3.73,6.75,12.2
1.488,-3.92,7.02,13.45
1.489,-4,4.16,13.53
1.49,-3.53,4.31,8.16
1.491,-3.65,4.31,9.22
1.492,-2.35,2.9,9.96
1.493,-1.29,2.67,4.82
1.494,-1.02,2.55,3.14
1.495,-1.1,2.28,3.45
1.496,-0.71,2.47,2.55
1.497,-0.67,2.63,2.67
1.498,-0.67,2.82,2.79
1.499,-0.47,2.71,4.08
1.5,-1.14,3.06,6.12
1.501,-0.63,4.39,7.61
1.502,-1.33,5.49,12.59
1.503,-2.9,4.71,15.46
1.504,-0.67,7.3,8.87
1.505,-1.14,6.12,11.73
1.506,-2.08,4.98,11.02
1.507,-1.88,4.75,5.77
1.508,-2.67,4.31,4.2
1.509,-2.94,4.43,4.9
1.51,-2.59,4.82,5.41
1.511,-3.33,4.98,6.86
1.512,-3.49,5.18,8.43
1.513,-4.39,5.14,10.16
1.514,-4.9,5.65,12.51
1.515,-5.1,6.51,14.12
1.516,-4.35,4.24,19.1
1.517,-2.98,3.61,11.89
1.518,-2.59,4.04,8.43
1.519,-2.08,2.98,9.3
1.52,-1.26,2.43,6.35
1.521,-0.98,2.47,4.9
1.522,-0.94,2.28,4.47
1.523,-0.59,2,3.57
